time,mass_concentration_of_chlorophyll_a_in_sea_water_profiler_depth_enabled,z,sea_water_pressure_profiler_depth_enabled,z,moles_of_oxygen_per_unit_mass_in_sea_water_profiler_depth_enabled,z,,,,,,,
UTC,microg.L-1,m,decibars,m,micromol.kg-1,m,,,,,,,
2021-03-01T08:00:00Z,0.029630769,-84,84.50844895,-84,195.7596741,-84,,,,,,,
2021-03-01T08:00:00Z,0.025905263,-83,83.70191865,-83,196.2181123,-83,,,,,,,
2021-03-01T08:00:00Z,0.02568,-82,82.67090672,-82,198.0114677,-82,,,,,,,
2021-03-01T08:00:00Z,0.0214,-81,81.62435932,-81,204.0370157,-81,,,,,,,
2021-03-01T08:01:00Z,0.0387875,-81,80.65739171,-80,207.667796,-80,,,,,,,
2021-03-01T08:03:00Z,0.08025,-76,79.78973235,-79,210.5792348,-79,,,,,,,
2021-03-01T08:03:00Z,0.067766667,-75,79.27615086,-79,212.2211826,-79,,,,,,,
2021-03-01T08:03:00Z,0.072352381,-74,78.65572436,-78,213.7556903,-78,,,,,,,
2021-03-01T08:03:00Z,0.057066667,-73,77.62989522,-77,215.5807392,-77,,,,,,,
2021-03-01T08:04:00Z,0.060633333,-73,76.85976709,-76,216.6203997,-76,,,,,,,
2021-03-01T08:04:00Z,0.063636842,-72,76.40928517,-76,216.9687088,-76,,,,,,,
2021-03-01T08:04:00Z,0.067976471,-71,75.65447163,-75,217.5348671,-75,,,,,,,
2021-03-01T08:05:00Z,0.063636842,-70,74.64104124,-74,217.5716476,-74,,,,,,,
2021-03-01T08:05:00Z,0.072332,-69,74.02934381,-73,217.4815856,-73,,,,,,,
2021-03-01T08:05:00Z,0.077277778,-68,73.50624611,-73,217.10183,-73,,,,,,,
2021-03-01T08:06:00Z,0.0762375,-68,72.54328455,-72,217.4586039,-72,,,,,,,
2021-03-01T08:06:00Z,0.069235294,-67,71.64497446,-71,218.203785,-71,,,,,,,
2021-03-01T08:06:00Z,0.086619048,-66,70.68926332,-70,218.9767954,-70,,,,,,,
2021-03-01T08:06:00Z,0.0963,-65,69.57178707,-69,219.8768771,-69,,,,,,,
2021-03-01T08:07:00Z,0.087026667,-65,68.63722888,-68,220.0709219,-68,,,,,,,
2021-03-01T08:07:00Z,0.086788889,-64,68.33379479,-68,220.6925098,-68,,,,,,,
2021-03-01T08:07:00Z,0.107594444,-63,67.61787559,-67,221.3992354,-67,,,,,,,
2021-03-01T08:07:00Z,0.1177,-62,66.59527458,-66,223.4926374,-66,,,,,,,
2021-03-01T08:08:00Z,0.108459091,-62,65.92964259,-65,224.266604,-65,,,,,,,
2021-03-01T08:08:00Z,0.112944444,-61,65.34871472,-65,224.8288682,-65,,,,,,,
2021-03-01T08:08:00Z,0.094653846,-60,64.51391798,-64,226.4806854,-64,,,,,,,
2021-03-01T08:09:00Z,0.0963,-60,63.56054701,-63,229.3901993,-63,,,,,,,
2021-03-01T08:09:00Z,0.104208696,-59,62.92057711,-62,230.049858,-62,,,,,,,
2021-03-01T08:09:00Z,0.116441177,-58,62.43871978,-62,232.0139623,-62,,,,,,,
2021-03-01T08:09:00Z,0.13268,-57,61.43504007,-61,233.5377543,-61,,,,,,,
2021-03-01T08:10:00Z,0.110057143,-57,60.58743459,-60,235.1344764,-60,,,,,,,
2021-03-01T08:10:00Z,0.1270625,-56,60.10885536,-60,235.9717953,-60,,,,,,,
2021-03-01T08:10:00Z,0.15261579,-55,59.50171759,-59,236.4411723,-59,,,,,,,
2021-03-01T08:10:00Z,0.1605,-54,58.44826306,-58,238.4179403,-58,,,time,oxyen,chlorophyll,pressure,depth
2021-03-01T08:11:00Z,0.184575,-54,57.69037069,-57,241.3181887,-57,,,,,,,
2021-03-01T08:11:00Z,0.234211111,-53,57.42712516,-57,243.9604818,-57,,,,,,,
2021-03-01T08:11:00Z,0.261385714,-52,56.53005621,-56,247.62516,-56,,,,,,,
2021-03-01T08:12:00Z,0.26215,-52,55.46102447,-55,252.9859073,-55,,,,,,,
2021-03-01T08:12:00Z,0.257988889,-51,54.73076237,-54,254.2516765,-54,,,,,,,
2021-03-01T08:12:00Z,0.301829167,-50,54.48328679,-54,256.0967485,-54,,,,,,,
2021-03-01T08:12:00Z,0.3745,-49,53.45106325,-53,261.0638122,-53,,,,,,,
2021-03-01T08:13:00Z,0.3852,-49,52.40305427,-52,263.8066349,-52,,,,,,,
2021-03-01T08:13:00Z,0.460635,-48,52.12307268,-52,265.3182735,-52,,,,,,,
2021-03-01T08:13:00Z,0.471926316,-47,51.45381431,-51,266.5238706,-51,,,,,,,
2021-03-01T08:13:00Z,0.468125,-46,50.38220523,-50,267.8624185,-50,,,,,,,
2021-03-01T08:14:00Z,0.48216875,-46,49.51439137,-49,270.4475421,-49,,,,,,,
2021-03-01T08:14:00Z,0.487822727,-45,49.05660091,-49,272.039643,-49,,,,,,,
2021-03-01T08:14:00Z,0.49955625,-44,48.30309441,-48,273.6669929,-48,,,,,,,
2021-03-01T08:15:00Z,0.54035,-44,47.38246649,-47,277.1341907,-47,,,,,,,
2021-03-01T08:15:00Z,0.525230435,-43,46.6770547,-46,278.3283012,-46,,,,,,,
2021-03-01T08:15:00Z,0.518668421,-42,46.30041346,-46,279.6497958,-46,,,,,,,
2021-03-01T08:15:00Z,0.5243,-41,45.36213219,-45,280.804704,-45,,,,,,,
2021-03-01T08:16:00Z,0.5416875,-41,44.44196417,-44,281.3744147,-44,,,,,,,
2021-03-01T08:16:00Z,0.550408,-40,44.02099921,-44,281.5570577,-44,,,,,,,
2021-03-01T08:16:00Z,0.5564,-39,43.37146816,-43,281.7857588,-43,,,,,,,
2021-03-01T08:16:00Z,0.5671,-38,42.33455934,-42,282.0576724,-42,,,,,,,
2021-03-01T08:17:00Z,0.58315,-38,41.55391545,-41,282.1489476,-41,,,,,,,
2021-03-01T08:17:00Z,0.632828571,-37,41.3282043,-41,282.1884173,-41,,,,,,,
2021-03-01T08:17:00Z,0.651808333,-36,40.40479384,-40,282.4187207,-40,,,,,,,
2021-03-01T08:18:00Z,0.6527,-36,39.31505785,-39,282.5276355,-39,,,,,,,
2021-03-01T08:18:00Z,0.661940909,-35,38.73837767,-38,282.6284076,-38,,,,,,,
2021-03-01T08:18:00Z,0.69215625,-34,38.34239547,-38,282.7529284,-38,,,,,,,
2021-03-01T08:18:00Z,0.7155625,-33,37.27278853,-37,283.1673597,-37,,,,,,,
2021-03-01T08:19:00Z,0.70686875,-33,36.47858483,-36,283.4862362,-36,,,,,,,
2021-03-01T08:19:00Z,0.721086957,-32,36.05244407,-36,283.4544785,-36,,,,,,,
2021-03-01T08:19:00Z,0.719957143,-31,35.31485566,-35,283.5414165,-35,,,,,,,
2021-03-01T08:20:00Z,0.7169,-31,34.34610835,-34,283.6952099,-34,,,,,,,
2021-03-01T08:20:00Z,0.724221053,-30,33.58795379,-33,283.8971064,-33,,,,,,,
2021-03-01T08:20:00Z,0.74793,-29,33.19382225,-33,283.8841635,-33,,,,,,,
2021-03-01T08:20:00Z,0.7704,-28,32.28942043,-32,284.002943,-32,,,,,,,
2021-03-01T08:21:00Z,0.773075,-28,31.24182536,-31,284.1499973,-31,,,,,,,
2021-03-01T08:21:00Z,0.764285714,-27,30.84556697,-31,284.2648391,-31,,,,,,,
2021-03-01T08:21:00Z,0.782495652,-26,30.24016591,-30,284.283584,-30,,,,,,,
2021-03-01T08:22:00Z,0.7383,-26,29.25338441,-29,284.2706249,-29,,,,,,,
2021-03-01T08:22:00Z,0.795366667,-25,28.59602591,-28,284.4275583,-28,,,,,,,
2021-03-01T08:22:00Z,0.800122222,-24,27.9231781,-28,284.5031863,-28,,,,,,,
2021-03-01T08:22:00Z,0.7918,-23,27.23306416,-27,284.5891544,-27,,,,,,,
2021-03-01T08:23:00Z,0.812011111,-23,26.2380702,-26,284.6232118,-26,,,,,,,
2021-03-01T08:23:00Z,0.82497,-22,25.69822386,-25,284.6898179,-25,,,,,,,
2021-03-01T08:23:00Z,0.827842105,-21,25.8438492,-26,284.4511242,-26,,,,,,,
2021-03-01T08:23:00Z,0.82818,-20,25.09687976,-25,284.6268399,-25,,,,,,,
2021-03-01T08:24:00Z,0.836488235,-20,24.13054623,-24,284.7983885,-24,,,,,,,
2021-03-01T08:24:00Z,0.840544444,-19,23.33451065,-23,284.8551356,-23,,,,,,,
2021-03-01T08:24:00Z,0.835194444,-18,22.91983068,-23,284.9624414,-23,,,,,,,
2021-03-01T08:25:00Z,0.842625,-18,22.12129338,-22,285.118558,-22,,,,,,,
2021-03-01T08:25:00Z,0.8453,-17,21.17416714,-21,285.3095029,-21,,,,,,,
2021-03-01T08:25:00Z,0.840794737,-16,20.36796171,-20,285.7035057,-20,,,,,,,
2021-03-01T08:25:00Z,0.84102,-15,20.66875436,-21,285.8591814,-21,,,,,,,
2021-03-01T08:26:00Z,0.84423,-15,20.08195427,-20,286.0358684,-20,,,,,,,
2021-03-01T08:26:00Z,0.8239,-14,19.19852708,-19,286.1258024,-19,,,,,,,
2021-03-01T08:26:00Z,0.825683333,-13,18.16576896,-18,286.1002173,-18,,,,,,,
2021-03-01T08:26:00Z,0.82925,-12,17.77813813,-18,286.0254497,-18,,,,,,,
2021-03-01T08:27:00Z,0.8239,-13,17.02891297,-17,286.0314354,-17,,,,,,,
2021-03-01T08:27:00Z,0.817955556,-12,16.22952105,-16,286.0486596,-16,,,,,,,
2021-03-01T08:27:00Z,0.832347368,-11,15.33899072,-15,286.1386285,-15,,,,,,,
2021-03-01T08:27:00Z,0.8346,-10,15.14067192,-15,286.2104731,-15,,,,,,,
2021-03-01T08:28:00Z,0.817955556,-10,14.16665242,-14,286.2556589,-14,,,,,,,
2021-03-01T08:28:00Z,0.827192308,-9,13.19065467,-13,286.3923026,-13,,,,,,,
2021-03-01T08:28:00Z,0.818961539,-8,12.37366161,-12,286.5124362,-12,,,,,,,
2021-03-01T08:28:00Z,0.80892,-7,12.68728322,-13,286.557424,-13,,,,,,,
2021-03-01T08:29:00Z,0.81855,-11,12.0881275,-12,286.4954369,-12,,,,,,,
2021-03-01T08:29:00Z,0.825845455,-10,11.07368733,-11,286.5167049,-11,,,,,,,
2021-03-01T08:29:00Z,0.8118625,-9,10.30940781,-10,286.5484338,-10,,,,,,,
2021-03-01T08:29:00Z,0.82818,-8,9.975726268,-10,286.6627794,-10,,,,,,,
2021-03-01T08:29:00Z,0.824664286,-7,9.00959415,-9,286.7067293,-9,,,,,,,
2021-03-01T08:29:00Z,0.863133333,-6,8.042628206,-8,286.750469,-8,,,,,,,
2021-03-01T08:30:00Z,0.837657143,-16,7.242412986,-7,286.6710412,-7,,,,,,,
2021-03-01T08:30:00Z,0.841733333,-15,10.84574262,-11,286.7417714,-11,,,,,,,
2021-03-01T08:30:00Z,0.81748,-14,9.933175323,-10,286.6817705,-10,,,,,,,
2021-03-01T08:30:00Z,0.8091875,-13,9.08491092,-9,286.7081391,-9,,,,,,,
2021-03-01T08:30:00Z,0.80678,-12,8.106483636,-8,286.7330788,-8,,,,,,,
2021-03-01T08:30:00Z,0.8132,-11,7.207389377,-7,286.6802828,-7,,,,,,,
2021-03-01T08:31:00Z,0.82925,-17,6.308549888,-6,286.7924245,-6,,,,,,,
2021-03-01T08:31:00Z,0.8252375,-16,15.67597092,-16,286.5984697,-16,,,,,,,
2021-03-01T08:33:00Z,0.8132,-18,15.31794738,-15,286.7356042,-15,,,,,,,
2021-03-01T08:33:00Z,0.82136579,-17,14.18512637,-14,286.6552446,-14,,,,,,,
2021-03-01T08:33:00Z,0.8346,-16,13.05019829,-13,286.7861849,-13,,,,,,,
2021-03-01T08:34:00Z,0.809633333,-18,12.14761323,-12,286.8149101,-12,,,,,,,
2021-03-01T08:34:00Z,0.820009091,-17,11.17184639,-11,286.7997491,-11,,,,,,,
2021-03-01T08:34:00Z,0.814983333,-16,17.06717332,-17,286.591155,-17,,,,,,,
2021-03-01T08:35:00Z,0.8132,-18,16.25301132,-16,286.6526241,-16,,,,,,,
2021-03-01T08:35:00Z,0.830180435,-17,17.11697802,-17,286.3213488,-17,,,,,,,
2021-03-01T08:35:00Z,0.83888,-16,16.59262882,-16,286.300168,-16,,,,,,,
2021-03-01T08:36:00Z,0.8453,-21,17.73360633,-18,286.1398016,-18,,,,,,,
